summary_level,bucket,config,l1_prefetcher,l2_prefetcher,traces,geomean_ipc,mean_ipc,geomean_speedup_vs_matching_no_l2,geomean_speedup_vs_l1_no_l2_no,total_l2_pf_issued,total_l2_pf_useful,total_l2_pf_accuracy
ALL,ALL,1C.fullBW.l1_berti.l2_no,berti,no,610,0.803817,1.042533,1,1.140857,0,0,
ALL,ALL,1C.fullBW.l1_berti.l2_ppf,berti,ppf,610,0.787427,1.024877,0.97961,1.117595,60157953,1515622,0.025194
ALL,ALL,1C.fullBW.l1_berti.l2_pythia,berti,pythia,610,0.82559,1.085478,1.027087,1.17176,548477408,56868458,0.103684
ALL,ALL,1C.fullBW.l1_berti.l2_umama,berti,umama,609,0.824922,1.092612,1.027137,1.17206,927329064,56382277,0.060801
ALL,ALL,1C.fullBW.l1_no.l2_no,no,no,610,0.704573,0.917107,1,1,0,0,
ALL,ALL,1C.fullBW.l1_no.l2_ppf,no,ppf,609,0.692517,0.904008,0.982295,0.982295,50623025,2697687,0.05329
ALL,ALL,1C.fullBW.l1_no.l2_pythia,no,pythia,609,0.781944,1.018307,1.10977,1.10977,551088465,74861217,0.135842
ALL,ALL,1C.fullBW.l1_no.l2_umama,no,umama,607,0.803219,1.058249,1.140774,1.140774,885541868,79193870,0.08943
WORKLOAD,AI-ML,1C.fullBW.l1_berti.l2_no,berti,no,80,1.726222,2.003983,1,1.228426,0,0,
WORKLOAD,GTrace,1C.fullBW.l1_berti.l2_no,berti,no,359,0.549797,0.582335,1,1.054458,0,0,
WORKLOAD,Graph-GAP,1C.fullBW.l1_berti.l2_no,berti,no,19,0.353218,0.410826,1,1.412589,0,0,
WORKLOAD,Graph-GMS,1C.fullBW.l1_berti.l2_no,berti,no,40,1.277461,1.456363,1,1.101313,0,0,
WORKLOAD,Graph-Ligra,1C.fullBW.l1_berti.l2_no,berti,no,17,1.230238,1.330371,1,1.798919,0,0,
WORKLOAD,SPEC17,1C.fullBW.l1_berti.l2_no,berti,no,95,1.594485,1.872545,1,1.293998,0,0,
WORKLOAD,AI-ML,1C.fullBW.l1_berti.l2_ppf,berti,ppf,80,1.673098,1.951059,0.969225,1.190622,28314976,657851,0.023233
WORKLOAD,GTrace,1C.fullBW.l1_berti.l2_ppf,berti,ppf,359,0.538472,0.571297,0.979402,1.032739,18538039,341796,0.018438
WORKLOAD,Graph-GAP,1C.fullBW.l1_berti.l2_ppf,berti,ppf,19,0.342067,0.399832,0.968428,1.36799,2843882,171313,0.060239
WORKLOAD,Graph-GMS,1C.fullBW.l1_berti.l2_ppf,berti,ppf,40,1.271264,1.452247,0.995149,1.09597,1762390,30066,0.01706
WORKLOAD,Graph-Ligra,1C.fullBW.l1_berti.l2_ppf,berti,ppf,17,1.20567,1.305682,0.98003,1.762994,777328,55827,0.071819
WORKLOAD,SPEC17,1C.fullBW.l1_berti.l2_ppf,berti,ppf,95,1.570379,1.853805,0.984882,1.274435,7921338,258769,0.032667
WORKLOAD,AI-ML,1C.fullBW.l1_berti.l2_pythia,berti,pythia,80,1.869044,2.137731,1.082737,1.330062,198296138,20460002,0.103179
WORKLOAD,GTrace,1C.fullBW.l1_berti.l2_pythia,berti,pythia,359,0.55546,0.593012,1.010301,1.06532,160498371,15017465,0.093568
WORKLOAD,Graph-GAP,1C.fullBW.l1_berti.l2_pythia,berti,pythia,19,0.34486,0.417411,0.976337,1.379162,77007548,8226008,0.106821
WORKLOAD,Graph-GMS,1C.fullBW.l1_berti.l2_pythia,berti,pythia,40,1.290252,1.465495,1.010013,1.11234,13326615,1229378,0.09225
WORKLOAD,Graph-Ligra,1C.fullBW.l1_berti.l2_pythia,berti,pythia,17,1.317549,1.433571,1.070971,1.92659,17056640,2344507,0.137454
WORKLOAD,SPEC17,1C.fullBW.l1_berti.l2_pythia,berti,pythia,95,1.683414,1.971692,1.055773,1.366168,82292096,9591098,0.116549
WORKLOAD,AI-ML,1C.fullBW.l1_berti.l2_umama,berti,umama,80,1.954695,2.220325,1.132354,1.391014,260765788,22834033,0.087565
WORKLOAD,GTrace,1C.fullBW.l1_berti.l2_umama,berti,umama,359,0.549114,0.587099,0.998759,1.053149,335893397,15801478,0.047043
WORKLOAD,Graph-GAP,1C.fullBW.l1_berti.l2_umama,berti,umama,19,0.360358,0.431153,1.020213,1.441142,81435537,4998462,0.061379
WORKLOAD,Graph-GMS,1C.fullBW.l1_berti.l2_umama,berti,umama,40,1.287928,1.464282,1.008194,1.110336,68694471,1353919,0.019709
WORKLOAD,Graph-Ligra,1C.fullBW.l1_berti.l2_umama,berti,umama,17,1.321943,1.443259,1.074542,1.933015,32132715,2337662,0.07275
WORKLOAD,SPEC17,1C.fullBW.l1_berti.l2_umama,berti,umama,94,1.682345,1.975616,1.053278,1.366606,148407156,9056723,0.061026
WORKLOAD,AI-ML,1C.fullBW.l1_no.l2_no,no,no,80,1.40523,1.743486,1,1,0,0,
WORKLOAD,GTrace,1C.fullBW.l1_no.l2_no,no,no,359,0.521402,0.543624,1,1,0,0,
WORKLOAD,Graph-GAP,1C.fullBW.l1_no.l2_no,no,no,19,0.25005,0.270979,1,1,0,0,
WORKLOAD,Graph-GMS,1C.fullBW.l1_no.l2_no,no,no,40,1.159944,1.361452,1,1,0,0,
WORKLOAD,Graph-Ligra,1C.fullBW.l1_no.l2_no,no,no,17,0.683876,0.761188,1,1,0,0,
WORKLOAD,SPEC17,1C.fullBW.l1_no.l2_no,no,no,95,1.232216,1.602615,1,1,0,0,
WORKLOAD,AI-ML,1C.fullBW.l1_no.l2_ppf,no,ppf,80,1.358881,1.693829,0.967017,0.967017,25329824,1391346,0.054929
WORKLOAD,GTrace,1C.fullBW.l1_no.l2_ppf,no,ppf,358,0.511604,0.534285,0.981024,0.981024,16126038,415094,0.025741
WORKLOAD,Graph-GAP,1C.fullBW.l1_no.l2_ppf,no,ppf,19,0.24676,0.268721,0.98684,0.98684,1562649,153222,0.098053
WORKLOAD,Graph-GMS,1C.fullBW.l1_no.l2_ppf,no,ppf,40,1.154479,1.354202,0.995289,0.995289,489138,28989,0.059265
WORKLOAD,Graph-Ligra,1C.fullBW.l1_no.l2_ppf,no,ppf,17,0.690228,0.768071,1.009288,1.009288,547156,131198,0.239782
WORKLOAD,SPEC17,1C.fullBW.l1_no.l2_ppf,no,ppf,95,1.218626,1.593994,0.988971,0.988971,6568220,577838,0.087975
WORKLOAD,AI-ML,1C.fullBW.l1_no.l2_pythia,no,pythia,80,1.574968,1.887121,1.12079,1.12079,261709887,36836986,0.140755
WORKLOAD,GTrace,1C.fullBW.l1_no.l2_pythia,no,pythia,358,0.542531,0.572812,1.041329,1.041329,128051372,14424335,0.112645
WORKLOAD,Graph-GAP,1C.fullBW.l1_no.l2_pythia,no,pythia,19,0.312247,0.363547,1.248734,1.248734,54823764,6138660,0.111971
WORKLOAD,Graph-GMS,1C.fullBW.l1_no.l2_pythia,no,pythia,40,1.278843,1.451465,1.102504,1.102504,9568380,1317041,0.137645
WORKLOAD,Graph-Ligra,1C.fullBW.l1_no.l2_pythia,no,pythia,17,1.19338,1.295794,1.745024,1.745024,18384545,3081776,0.167629
WORKLOAD,SPEC17,1C.fullBW.l1_no.l2_pythia,no,pythia,95,1.556905,1.864403,1.263501,1.263501,78550517,13062419,0.166293
WORKLOAD,AI-ML,1C.fullBW.l1_no.l2_umama,no,umama,78,1.83759,2.126386,1.296488,1.296488,303147409,39680714,0.130896
WORKLOAD,GTrace,1C.fullBW.l1_no.l2_umama,no,umama,359,0.54429,0.577936,1.043897,1.043897,272898257,16676644,0.061109
WORKLOAD,Graph-GAP,1C.fullBW.l1_no.l2_umama,no,umama,19,0.332258,0.388442,1.328764,1.328764,78674237,5463068,0.069439
WORKLOAD,Graph-GMS,1C.fullBW.l1_no.l2_umama,no,umama,40,1.272023,1.447738,1.096625,1.096625,21795498,1250424,0.057371
WORKLOAD,Graph-Ligra,1C.fullBW.l1_no.l2_umama,no,umama,17,1.26086,1.372576,1.843696,1.843696,51635472,3135505,0.060724
WORKLOAD,SPEC17,1C.fullBW.l1_no.l2_umama,no,umama,94,1.618664,1.919112,1.301624,1.301624,157390995,12987515,0.082518
SUITE,Graph/GAP,1C.fullBW.l1_berti.l2_no,berti,no,19,0.353218,0.410826,1,1.412589,0,0,
SUITE,Graph/GMS,1C.fullBW.l1_berti.l2_no,berti,no,43,1.270447,1.442105,1,1.104065,0,0,
SUITE,Graph/Ligra,1C.fullBW.l1_berti.l2_no,berti,no,17,1.230238,1.330371,1,1.798919,0,0,
SUITE,SPEC17,1C.fullBW.l1_berti.l2_no,berti,no,92,1.61019,1.89278,1,1.299302,0,0,
SUITE,ai-ml,1C.fullBW.l1_berti.l2_no,berti,no,80,1.726222,2.003983,1,1.228426,0,0,
SUITE,gtrace_v2/arizona,1C.fullBW.l1_berti.l2_no,berti,no,6,1.504872,1.810033,1,1.399396,0,0,
SUITE,gtrace_v2/bravo,1C.fullBW.l1_berti.l2_no,berti,no,3,0.314483,0.316667,1,1.032804,0,0,
SUITE,gtrace_v2/charlie,1C.fullBW.l1_berti.l2_no,berti,no,22,0.794905,0.811795,1,1.103269,0,0,
SUITE,gtrace_v2/delta,1C.fullBW.l1_berti.l2_no,berti,no,4,0.701114,0.720125,1,1.110999,0,0,
SUITE,gtrace_v2/merced,1C.fullBW.l1_berti.l2_no,berti,no,89,0.593953,0.609862,1,1.082234,0,0,
SUITE,gtrace_v2/sierra.a.3,1C.fullBW.l1_berti.l2_no,berti,no,17,0.451919,0.462129,1,1.014194,0,0,
SUITE,gtrace_v2/sierra.a.4,1C.fullBW.l1_berti.l2_no,berti,no,24,0.351349,0.355154,1,1.023258,0,0,
SUITE,gtrace_v2/sierra.a.6,1C.fullBW.l1_berti.l2_no,berti,no,18,0.479955,0.48415,1,1.068796,0,0,
SUITE,gtrace_v2/tahoe,1C.fullBW.l1_berti.l2_no,berti,no,40,0.561753,0.592035,1,1.087223,0,0,
SUITE,gtrace_v2/tango,1C.fullBW.l1_berti.l2_no,berti,no,51,0.575029,0.584096,1,1.009871,0,0,
SUITE,gtrace_v2/whiskey,1C.fullBW.l1_berti.l2_no,berti,no,2,0.496152,0.49835,1,1.211838,0,0,
SUITE,gtrace_v2/yankee,1C.fullBW.l1_berti.l2_no,berti,no,83,0.506895,0.514083,1,1.013192,0,0,
SUITE,Graph/GAP,1C.fullBW.l1_berti.l2_ppf,berti,ppf,19,0.342067,0.399832,0.968428,1.36799,2843882,171313,0.060239
SUITE,Graph/GMS,1C.fullBW.l1_berti.l2_ppf,berti,ppf,43,1.264476,1.438095,0.9953,1.098877,1925566,32437,0.016845
SUITE,Graph/Ligra,1C.fullBW.l1_berti.l2_ppf,berti,ppf,17,1.20567,1.305682,0.98003,1.762994,777328,55827,0.071819
SUITE,SPEC17,1C.fullBW.l1_berti.l2_ppf,berti,ppf,92,1.585199,1.873514,0.984479,1.279135,7758162,256398,0.033049
SUITE,ai-ml,1C.fullBW.l1_berti.l2_ppf,berti,ppf,80,1.673098,1.951059,0.969225,1.190622,28314976,657851,0.023233
SUITE,gtrace_v2/arizona,1C.fullBW.l1_berti.l2_ppf,berti,ppf,6,1.499797,1.801533,0.996628,1.394677,150553,8990,0.059713
SUITE,gtrace_v2/bravo,1C.fullBW.l1_berti.l2_ppf,berti,ppf,3,0.307978,0.310167,0.979315,1.011441,275859,2301,0.008341
SUITE,gtrace_v2/charlie,1C.fullBW.l1_berti.l2_ppf,berti,ppf,22,0.791819,0.808386,0.996118,1.098986,745254,29610,0.039731
SUITE,gtrace_v2/delta,1C.fullBW.l1_berti.l2_ppf,berti,ppf,4,0.695524,0.71465,0.992027,1.102141,253483,9861,0.038902
SUITE,gtrace_v2/merced,1C.fullBW.l1_berti.l2_ppf,berti,ppf,89,0.583469,0.599156,0.982349,1.063131,5488473,78703,0.01434
SUITE,gtrace_v2/sierra.a.3,1C.fullBW.l1_berti.l2_ppf,berti,ppf,17,0.442434,0.453059,0.979012,0.992909,833461,10022,0.012025
SUITE,gtrace_v2/sierra.a.4,1C.fullBW.l1_berti.l2_ppf,berti,ppf,24,0.34348,0.347258,0.977603,1.00034,1302957,18578,0.014258
SUITE,gtrace_v2/sierra.a.6,1C.fullBW.l1_berti.l2_ppf,berti,ppf,18,0.465897,0.47045,0.970711,1.037491,1266214,21626,0.017079
SUITE,gtrace_v2/tahoe,1C.fullBW.l1_berti.l2_ppf,berti,ppf,40,0.553407,0.583462,0.985143,1.071071,1873844,52137,0.027824
SUITE,gtrace_v2/tango,1C.fullBW.l1_berti.l2_ppf,berti,ppf,51,0.562985,0.572225,0.979055,0.98872,2173461,20188,0.009288
SUITE,gtrace_v2/whiskey,1C.fullBW.l1_berti.l2_ppf,berti,ppf,2,0.49305,0.4952,0.993746,1.204259,104538,3135,0.029989
SUITE,gtrace_v2/yankee,1C.fullBW.l1_berti.l2_ppf,berti,ppf,83,0.491522,0.498449,0.969673,0.982464,4069942,86645,0.021289
SUITE,Graph/GAP,1C.fullBW.l1_berti.l2_pythia,berti,pythia,19,0.34486,0.417411,0.976337,1.379162,77007548,8226008,0.106821
SUITE,Graph/GMS,1C.fullBW.l1_berti.l2_pythia,berti,pythia,43,1.282636,1.451191,1.009595,1.114658,13952416,1298304,0.093052
SUITE,Graph/Ligra,1C.fullBW.l1_berti.l2_pythia,berti,pythia,17,1.317549,1.433571,1.070971,1.92659,17056640,2344507,0.137454
SUITE,SPEC17,1C.fullBW.l1_berti.l2_pythia,berti,pythia,92,1.702783,1.994884,1.057504,1.374018,81666295,9522172,0.116599
SUITE,ai-ml,1C.fullBW.l1_berti.l2_pythia,berti,pythia,80,1.869044,2.137731,1.082737,1.330062,198296138,20460002,0.103179
SUITE,gtrace_v2/arizona,1C.fullBW.l1_berti.l2_pythia,berti,pythia,6,1.553219,1.845483,1.032127,1.444355,1916608,245633,0.12816
SUITE,gtrace_v2/bravo,1C.fullBW.l1_berti.l2_pythia,berti,pythia,3,0.309366,0.311867,0.983729,1.015999,2332987,173896,0.074538
